"country","eu_region","year","overall_gap","eu_avg_that_year","vs_eu_avg","flag_code","flag_note"
"Estonia","Northern",2024,"18.8","10.5","8.3","p","provisional"
"Czechia","Eastern",2024,"18.5","10.5","8.0","dp","provisional, definition differs"
"Austria","Western",2024,"17.6","10.5","7.1","p","provisional"
"Hungary","Eastern",2024,"16.9","10.5","6.4","p","provisional"
"Finland","Northern",2024,"16.3","10.5","5.8","bp","provisional, break in series"
"Slovakia","Eastern",2024,"15.7","10.5","5.2","p","provisional"
"Germany","Western",2024,"15.6","10.5","5.1","p","provisional"
"Denmark","Northern",2024,"14.0","10.5","3.5","p","provisional"
"Latvia","Northern",2024,"13.9","10.5","3.4","p","provisional"
"Greece","Southern",2024,"13.4","10.5","2.9","p","provisional"
"Bulgaria","Eastern",2024,"12.0","10.5","1.5","p","provisional"
"France","Western",2024,"11.8","10.5","1.3","p","provisional"
"Cyprus","Southern",2024,"11.8","10.5","1.3","p","provisional"
"Sweden","Northern",2024,"11.2","10.5","0.7","p","provisional"
"Netherlands","Western",2024,"11.2","10.5","0.7","p","provisional"
"Lithuania","Northern",2024,"10.0","10.5","-0.5","p","provisional"
"Ireland","Northern",2024,"8.3","10.5","-2.2","p","provisional"
"Slovenia","Southern",2024,"8.0","10.5","-2.5","p","provisional"
"Spain","Southern",2024,"7.3","10.5","-3.2","p","provisional"
"Portugal","Southern",2024,"7.0","10.5","-3.5","p","provisional"
"Croatia","Southern",2024,"6.6","10.5","-3.9","p","provisional"
"Italy","Southern",2024,"5.3","10.5","-5.2","p","provisional"
"Malta","Southern",2024,"4.9","10.5","-5.6","p","provisional"
"Poland","Eastern",2024,"4.0","10.5","-6.5",NULL,NULL
"Romania","Eastern",2024,"3.7","10.5","-6.8","e","estimated"
"Belgium","Western",2024,"0.7","10.5","-9.8","p","provisional"
"Luxembourg","Western",2024,"-0.8","10.5","-11.3","p","provisional"
